NAME,pop_total,households_total,zcta
ZCTA5 95662,31895,12339,95662
ZCTA5 95663,3126,1175,95663
ZCTA5 95664,1261,615,95664
ZCTA5 95665,4903,2098,95665
ZCTA5 95666,6089,2604,95666
ZCTA5 95667,36286,14489,95667
ZCTA5 95668,540,212,95668
ZCTA5 95669,2359,972,95669
ZCTA5 95670,59314,21936,95670
ZCTA5 95671,4188,19,95671
ZCTA5 95672,5630,1996,95672
ZCTA5 95673,16935,5255,95673
ZCTA5 95674,992,293,95674
ZCTA5 95675,345,84,95675
ZCTA5 95676,91,23,95676
ZCTA5 95677,28873,10838,95677
ZCTA5 95678,45744,17954,95678
ZCTA5 95679,113,52,95679
ZCTA5 95680,10,10,95680
ZCTA5 95681,1525,390,95681
ZCTA5 95682,29249,11544,95682
ZCTA5 95683,6128,2661,95683
ZCTA5 95684,2637,1356,95684
ZCTA5 95685,4611,2126,95685
ZCTA5 95686,1123,379,95686
ZCTA5 95687,69741,22991,95687
ZCTA5 95688,39216,14120,95688
ZCTA5 95689,1065,500,95689
ZCTA5 95690,1793,612,95690
ZCTA5 95691,39894,14284,95691
ZCTA5 95692,4966,1776,95692
ZCTA5 95693,7623,2356,95693
ZCTA5 95694,10156,3484,95694
ZCTA5 95695,38787,14439,95695
ZCTA5 95697,264,82,95697
ZCTA5 95698,255,154,95698
ZCTA5 95699,86,23,95699
ZCTA5 95701,1077,402,95701
ZCTA5 95703,2099,725,95703
ZCTA5 95709,5844,2435,95709
ZCTA5 95713,10471,3895,95713
ZCTA5 95714,383,164,95714
ZCTA5 95715,85,31,95715
ZCTA5 95717,111,51,95717
ZCTA5 95720,52,25,95720
ZCTA5 95721,0,0,95721
ZCTA5 95722,4439,1804,95722
ZCTA5 95726,8229,3446,95726
ZCTA5 95728,593,255,95728
ZCTA5 95735,54,23,95735
ZCTA5 95736,187,77,95736
ZCTA5 95742,16287,4788,95742
ZCTA5 95746,22549,7777,95746
ZCTA5 95747,78987,28590,95747
ZCTA5 95757,54535,15459,95757
ZCTA5 95758,65999,21995,95758
ZCTA5 95762,47262,16685,95762
ZCTA5 95765,43225,14604,95765
ZCTA5 95776,27189,8223,95776
ZCTA5 95811,8487,4831,95811
ZCTA5 95814,12355,6987,95814
ZCTA5 95815,26511,9737,95815
ZCTA5 95816,19079,11085,95816
ZCTA5 95817,14123,6666,95817
ZCTA5 95818,22798,10647,95818
ZCTA5 95819,20173,8332,95819
ZCTA5 95820,35359,13686,95820
ZCTA5 95821,38372,15662,95821
ZCTA5 95822,46269,16689,95822
ZCTA5 95823,83254,24569,95823
ZCTA5 95824,32432,9359,95824
ZCTA5 95825,37077,15833,95825
ZCTA5 95826,40500,15908,95826
ZCTA5 95827,21032,7588,95827
ZCTA5 95828,60532,18000,95828
ZCTA5 95829,31370,9296,95829
ZCTA5 95830,592,169,95830
ZCTA5 95831,44366,19344,95831
ZCTA5 95832,12973,3217,95832
ZCTA5 95833,40205,15544,95833
ZCTA5 95834,35062,12598,95834
ZCTA5 95835,41678,14912,95835
ZCTA5 95837,263,111,95837
ZCTA5 95838,40295,11951,95838
ZCTA5 95841,21232,8335,95841
ZCTA5 95842,35031,11902,95842
ZCTA5 95843,48321,15105,95843
ZCTA5 95864,25137,9875,95864
ZCTA5 95901,36807,13060,95901
ZCTA5 95903,2072,591,95903
ZCTA5 95910,35,18,95910
ZCTA5 95912,5048,1543,95912
ZCTA5 95913,266,95,95913
ZCTA5 95914,459,185,95914
ZCTA5 95915,0,0,95915
ZCTA5 95916,765,320,95916
ZCTA5 95917,3561,1176,95917
ZCTA5 95918,1842,926,95918
ZCTA5 95919,1110,517,95919
ZCTA5 95920,171,77,95920
ZCTA5 95922,495,286,95922
ZCTA5 95923,60,38,95923
ZCTA5 95925,219,72,95925
ZCTA5 95926,42143,17035,95926
ZCTA5 95928,37533,15807,95928
ZCTA5 95929,0,0,95929
ZCTA5 95930,412,109,95930
ZCTA5 95932,7672,2909,95932
ZCTA5 95934,57,49,95934
ZCTA5 95935,564,252,95935
ZCTA5 95936,191,66,95936
ZCTA5 95937,996,447,95937
ZCTA5 95938,4327,1484,95938
ZCTA5 95939,323,156,95939
ZCTA5 95941,342,105,95941
ZCTA5 95942,2190,869,95942
ZCTA5 95943,536,254,95943
ZCTA5 95944,91,91,95944
ZCTA5 95945,27675,12008,95945
ZCTA5 95946,9448,3738,95946
ZCTA5 95947,1105,469,95947
ZCTA5 95948,11118,3721,95948
ZCTA5 95949,20709,8166,95949
ZCTA5 95950,452,175,95950
ZCTA5 95951,2743,772,95951
ZCTA5 95953,10945,3401,95953
ZCTA5 95954,8488,3460,95954
ZCTA5 95955,1311,472,95955
ZCTA5 95956,486,192,95956
ZCTA5 95957,770,281,95957
ZCTA5 95958,0,0,95958
ZCTA5 95959,18017,7256,95959
ZCTA5 95960,568,251,95960
ZCTA5 95961,33439,9906,95961
ZCTA5 95962,1136,450,95962
ZCTA5 95963,16483,5642,95963
ZCTA5 95965,20854,7218,95965
ZCTA5 95966,29335,11593,95966
ZCTA5 95968,1346,563,95968
